log(shear rate) in s^-1,Polymer conc(wt%),NaCl concentration(wt%),Ca+2 concentration(wt%),Temperature(in celsius),log(viscosity) in cP
20.8724,0.2,1.0,0.0,90.0,7.86608
47.1958,0.2,1.0,0.0,90.0,6.800260000000001
70.991,0.2,1.0,0.0,90.0,6.78333
0.01,0.3,0.1,0.0,25.0,2500.0
0.01,0.2,0.1,0.0,25.0,800.0
0.01,0.1,0.1,0.0,25.0,110.0
0.01,0.05,0.1,0.0,25.0,20.0
0.1,0.3,0.1,0.0,25.0,2000.0
0.1,0.2,0.1,0.0,25.0,700.0
0.1,0.1,0.1,0.0,25.0,100.0
0.1,0.05,0.1,0.0,25.0,15.0
1.0,0.3,0.1,0.0,25.0,800.0
1.0,0.2,0.1,0.0,25.0,300.0
1.0,0.1,0.1,0.0,25.0,80.0
1.0,0.05,0.1,0.0,25.0,15.0
10.0,0.3,0.1,0.0,25.0,200.0
10.0,0.2,0.1,0.0,25.0,100.0
10.0,0.1,0.1,0.0,25.0,35.0
10.0,0.05,0.1,0.0,25.0,12.0
100.0,0.3,0.1,0.0,25.0,50.0
100.0,0.2,0.1,0.0,25.0,30.0
100.0,0.1,0.1,0.0,25.0,15.0
100.0,0.05,0.1,0.0,25.0,6.0
1000.0,0.3,0.1,0.0,25.0,15.0
1000.0,0.2,0.1,0.0,25.0,12.0
1000.0,0.1,0.1,0.0,25.0,6.0
1000.0,0.05,0.1,0.0,25.0,5.0
0.01,0.3,1.0,0.0,25.0,150.0
0.01,0.2,1.0,0.0,25.0,40.0
0.01,0.1,1.0,0.0,25.0,10.0
0.01,0.05,1.0,0.0,25.0,4.0
0.1,0.3,1.0,0.0,25.0,150.0
0.1,0.2,1.0,0.0,25.0,40.0
0.1,0.1,1.0,0.0,25.0,10.0
0.1,0.05,1.0,0.0,25.0,4.0
1.0,0.3,1.0,0.0,25.0,100.0
1.0,0.2,1.0,0.0,25.0,40.0
1.0,0.1,1.0,0.0,25.0,11.0
1.0,0.05,1.0,0.0,25.0,4.0
10.0,0.3,1.0,0.0,25.0,60.0
10.0,0.2,1.0,0.0,25.0,30.0
10.0,0.1,1.0,0.0,25.0,9.0
10.0,0.05,1.0,0.0,25.0,4.0
100.0,0.3,1.0,0.0,25.0,20.0
100.0,0.2,1.0,0.0,25.0,15.0
100.0,0.1,1.0,0.0,25.0,4.0
100.0,0.05,1.0,0.0,25.0,2.0
1000.0,0.3,1.0,0.0,25.0,10.0
1000.0,0.2,1.0,0.0,25.0,7.0
1000.0,0.1,1.0,0.0,25.0,3.0
1000.0,0.05,1.0,0.0,25.0,2.0
0.01,0.3,4.0,0.0,25.0,45.0
0.01,0.2,4.0,0.0,25.0,20.0
0.01,0.1,4.0,0.0,25.0,5.5
0.01,0.05,4.0,0.0,25.0,1.9
0.1,0.3,4.0,0.0,25.0,40.0
0.1,0.2,4.0,0.0,25.0,18.0
0.1,0.1,4.0,0.0,25.0,5.0
0.1,0.05,4.0,0.0,25.0,1.7
1.0,0.3,4.0,0.0,25.0,38.0
1.0,0.2,4.0,0.0,25.0,16.0
1.0,0.1,4.0,0.0,25.0,5.0
1.0,0.05,4.0,0.0,25.0,1.6
10.0,0.3,4.0,0.0,25.0,30.0
10.0,0.2,4.0,0.0,25.0,17.0
10.0,0.1,4.0,0.0,25.0,4.0
10.0,0.05,4.0,0.0,25.0,1.7
100.0,0.3,4.0,0.0,25.0,10.7
100.0,0.2,4.0,0.0,25.0,9.0
100.0,0.1,4.0,0.0,25.0,3.0
100.0,0.05,4.0,0.0,25.0,1.5
1000.0,0.3,4.0,0.0,25.0,8.0
1000.0,0.2,4.0,0.0,25.0,4.5
1000.0,0.1,4.0,0.0,25.0,2.1
1000.0,0.05,4.0,0.0,25.0,1.1
0.01,0.3,0.1,0.0,25.0,1200.0
0.01,0.3,0.5,0.0,25.0,300.0
0.01,0.3,1.0,0.0,25.0,150.0
0.01,0.3,2.0,0.0,25.0,75.0
0.01,0.3,4.0,0.0,25.0,35.0
0.1,0.3,0.1,0.0,25.0,1100.0
0.1,0.3,0.5,0.0,25.0,300.0
0.1,0.3,1.0,0.0,25.0,120.0
0.1,0.3,2.0,0.0,25.0,60.0
0.1,0.3,4.0,0.0,25.0,35.0
1.0,0.3,0.1,0.0,25.0,700.0
1.0,0.3,0.5,0.0,25.0,110.0
1.0,0.3,1.0,0.0,25.0,100.0
1.0,0.3,2.0,0.0,25.0,60.0
1.0,0.3,4.0,0.0,25.0,30.0
10.0,0.3,0.1,0.0,25.0,200.0
10.0,0.3,0.5,0.0,25.0,80.0
10.0,0.3,1.0,0.0,25.0,70.0
10.0,0.3,2.0,0.0,25.0,50.0
10.0,0.3,4.0,0.0,25.0,30.0
100.0,0.3,0.1,0.0,25.0,50.0
100.0,0.3,0.5,0.0,25.0,25.0
100.0,0.3,1.0,0.0,25.0,20.0
100.0,0.3,2.0,0.0,25.0,15.0
100.0,0.3,4.0,0.0,25.0,12.0
